ID;Source;Creation Date;Content;Sentiment
23017160;HackerNews;2020-04-29;Title:Why Segment Went Back to a Monolith, Content: https://www.infoq.com/news/2020/04/microservices-back-again/;0

23067252;HackerNews;2020-05-04;on the other hand if a memory leak concerns one key microservice your whole operation is also likely to suffer even if 99 of services run fine.;0
23060927;HackerNews;2020-05-03;this thread considered an issue whether services and microservices are equivalent concepts. they are not. there is a quality that is held by microservices yet which is not universally held by services.you have observed that other services also have that quality. indeed. nowhere did i say all services with decoupled deployment are microservices.;0
23040980;HackerNews;2020-05-01;like computer lib dream machines where you flip it over backwards to get the other book! and of course the microservices section should be really thin while the monolith section is extremely thick.like popedotninja pointed out you can just flip the book over when one approach starts to peak. vcf east xi ted nelson ted nelson designed the xanadu hypertext software and wrote the twoinone personal computing book computer lib dream machines in 1974. his work deeply influenced the personal computing revolution. ted earned two ph.d.s and penned several other wellregarded academic papers and books about ethical historical and moral issues in computing. computer libdream machines is a 1974 book by ted nelson printed as a twofrontcover paperback to indicate its intertwingled nature. originally selfpublished by nelson it was republished with a foreword by stewart brand in 1987 by microsoft press.in steven levy's book hackers computer lib is described as the epic of the computer revolution the bible of the hacker dream. nelson was stubborn enough to publish it when no one else seemed to think it was a good idea.;0
23040882;HackerNews;2020-05-01;maybe it's because you weren't able to explain why you thought microservices can be really bad or your explanation didn't hold water. so what was the explanation you gave them or do you not want to say?or perhaps there are other reasons you're simply not recognizing? like your sarcastic tone?;0
23032345;HackerNews;2020-04-30;it seems like a lot of the issues were around sharing code and libraries resulting from isolated codebases per service and the versioning hell of shared libraries.i work in a org that migrated to microservices over time but intentionally adopted a monorepo approach as part of it. it works quite well and seems to avoid a lot of the pain points expressed here while also gaining the benefits of microservices.there are definitely tradeoffs to the monorepo approach. it makes development on shared libraries more delicate and stressful however this can be mitigated by more robust crossservice ci and i definitely think it's a worthwhile tradeoff to the painful cycle of shared lib versions diverging across services and finding issues when some service finally gets around to upgrading its version weeksmonths after shared lib changes.;0
23030086;HackerNews;2020-04-30;often they didnt. how many stories have we all heard about wow.. transitioning to microservices was way harder than we expected followed by a move back to monolith instead of fixing the issues.that doesnt mean a micro service architecture is wrong... just that you have to either learn from your mistakes or hire an amazingly talented team... that have learned from mistakes somewhere else.;0
23029303;HackerNews;2020-04-30;if you're up for a humoristic take on microservices you could have a look at this video;0
23027984;HackerNews;2020-04-30;the general view of microservices was largely invented out of thin air when you look at martin fowlers wiki or adrian cockcrofts presentations which were the originating popularizers of the term it was all a reasonable refinement of soa.but then youd get some that would make bizarre claims like a microservices must be under 100 lines of code. shrug;0
23026522;HackerNews;2020-04-30;where you can get into trouble is if the problem affects all your instances across the entire cluster. if all your organization's code is running in the same process if any of that code has a severe memory leak or other serious issue it could impact the stability of everything else.not to say that wouldn't happen for spof microservices e.g. your auth servers but the surface area is potentially larger for monoliths.;0
23025177;HackerNews;2020-04-30;i dont think this is accurate. ive worked at companies that did serviceoriented architecture long before the rise of the term microservice and it was clearly recognized that different services shouldnt be so coupled together you cant redeploy them separately.;0
23025121;HackerNews;2020-04-30;my org is starting to migrate from a php monolith to microservices as a way of freeing ourselves from php.microservices will require more time spent writing interservice apis and code execution will be slower since many procedure calls will require data serialization and network requests. but we believe it will be worth the overhead to not be locked into php for every new component of the project.;0
23024884;HackerNews;2020-04-29;honestly that sounds like the devops team didn't communicate well with the business when they pitched them microservices. the business can't reasonably know that moving to microservices entails a change in infrastructure and toolingyou have to build that into your high level estimates.;0
