ID;Source;Creation Date;Content;Sentiment
17499137;HackerNews;2018-07-10;Title:Goodbye Microservices: From 100s of problem children to 1 superstar, Content: https://segment.com/blog/goodbye-microservices/;0

17523513;HackerNews;2018-07-13;"You took the words right out of my mouth:<p>&gt;&gt;To summarize, it seems like they made some mistakes, microed their services in a knee-jerk attempt to alleviate the symptoms of the mistakes, realized microservices didn't fix their mistakes, finally addressed the mistakes, then wrote a blog post about microservices.<p>I read the article a few days ago and was struck by what a poor idea it was to take a hundred or so functions that do about the same thing and to break them up into a hundred or so compilation and deployment units.<p>If that's not a micro-service anti-pattern, I don't know what is!";0
17518584;HackerNews;2018-07-12;The failure her does seems like someone who have made microservices with the wrong bounded context (Domain Driven design). When one splits a monolith up into microservices it is essential to not split a bounded context into several micoservices (or 100+ in this case).;0
17512129;HackerNews;2018-07-12;"The issue is that it is rare and difficult to be able to synthesize all the changes happening in computing and to go deep.  So a certain “Pop culture” of computing develops that is superficial and cliche’d.  We see this in many serious subjects:  pop psychology, pop history, pop science, pop economics, pop nutrition.   Some of these are better quality than others if they have a strong academic backing, but even in areas such as economics we can’t get to basic consensus on fundamentals due to the politicization, difficulty of reproducible experiment, and widespread “popular” concepts out there that may be wrong.<p>Concepts like microservices synthesize a bunch of tradeoffs and patterns that have been worked on for decades.  They’re boiled down to an architecture fad, but have applicability in many contexts if you understand them.<p>Similarly with Agile, it synthesizes a lot of what we know about planning under uncertainty, continuous learning, feedback, flow, etc.  But it’s often repackaged into cliche tepid forms by charlatans to sell consulting deals or Scrum black belts.<p>Alan Kay called this one out in an old interview:
<a href=""https://queue.acm.org/detail.cfm?id=1039523"" rel=""nofollow"">https://queue.acm.org/detail.cfm?id=1039523</a><p>“computing spread out much, much faster than educating unsophisticated people can happen. In the last 25 years or so, we actually got something like a pop culture, similar to what happened when television came on the scene and some of its inventors thought it would be a way of getting Shakespeare to the masses. But they forgot that you have to be more sophisticated and have more perspective to understand Shakespeare. What television was able to do was to capture people as they were.<p>So I think the lack of a real computer science today, and the lack of real software engineering today, is partly due to this pop culture.”";0
17512051;HackerNews;2018-07-12;No, I’m assuming they must be deployed on an IP network of some sort, not necessarily the Internet.  A microservice by definition is a networked service.  The whole REASON the term was coined was to differentiate from services which often were developed and deployed  monolithically, as opposed to truly autonomous runtime processes (aka. bounded contexts).<p>Services, whether SOA, web services, messaging services, or network services etc, as in SOA, describe a client/server  architecture with an API.  Usually these APIs are designed by the principles of Domain Driven Design, where different teams map to bounded contexts that have their own published API.<p>Microservices are a form of SOA where each API also runs in its own process and thus has independent deployment lifecycle.  Many in the SOA world advocated for this 10-15 years ago (and often ignored), and now the industry has gone back and coined a term for this practice.<p>In an organization that does microservices properly at scale, like Amazon, you have teams that build and run and upgrade their service autonomously from others.  Read the Steve Yegge rant about Amazon and Platforms to understand this.  It allows tremendous parallelisation of effort and allows for thousands of deploys to production daily without breakage.  This is hard to pull off though, and   a new initiative doesn’t generally won’t more than a small handful of services.<p>If it’s a shared library, then call it a shared library.  It has a completely different lifecycle from a microservice.  In your Android example, shared libraries by definition are controlled by whomever can dictate OS updates, not the app developer.;0
17510041;HackerNews;2018-07-11;"<i>Verification on the system boundaries means running the app, not running a unit test</i><p>What is an app at the system boundaries if not a piece of code with dependencies?<p>If you have a microservice - FooService that calls  BarService. The &quot;system boundary&quot; you are trying to test is FooService using a fake BarService. I'm assuming that you're calling FooService via HTTP using a test runner like Newman and test results.<p>In a monolithic application you have class FooModule that depends on BarModule that implements IBarModule. In your production application you use create FooModule:<p>var x = FooModule(new BarModule)<p>y = x.Baz(5);<p>In your Unit tests, you create your FooModuleL<p>var x = FooModule(new FakeBarModule)
actual= x.Baz(5)
Assert.AreEqual(10,actual)<p>And run your tests with a runner like NUnit.<p>There is no functional difference.<p>Of course FooModule can be at whatever level of the stack you are trying to test - even the Controller.";0
17508513;HackerNews;2018-07-11;"&gt;&gt; A huge point of frustration was that a single broken test caused tests to fail across all destinations. When we wanted to deploy a change, we had to spend time fixing the broken test even if the changes had nothing to do with the initial change. In response to this problem, it was decided to break out the code for each destination into their own repos<p>We went through this painful period. Kept at it devoting a rotating pair to proactively address issues. Eventually it stabilized, but the real solution was to better decouple services and have them perform with more 9s of reliable latency. Microservices are hard when done improperly and there doesn't seem to be a short path to learning how to make them with good boundaries and low coupling.";0
17508286;HackerNews;2018-07-11;How much of the code was shared among these services?  It sounds like you essentially had mostly the same code running in 140 different configurations with only some translation logic and glue varying between each.  I'm not surprised you found this untenable.  This is akin to running a microservice per web page.;0
17507991;HackerNews;2018-07-11;Microservices are a great tool for the toolbox. Not everybody needs them. It has definitely seemed like a fad over the past few years to push everybody to use them (even projects or orgs that don't need them). I suspect that is what happened here;0
