ID;Source;Creation Date;Content;Sentiment
10399681;HackerNews;2015-10-16;we should grab lunch to chat about this.simply put you split a microservice when you need to split teams.microservices aren't a solution to a technical problem they're a solution to a socialorganization problem described by conway's law.;0
10347559;HackerNews;2015-10-07;if you've built your microservices on top of multiple databases then you could have built the same features in a monolith on top of multiple databases. what helped scaling is splitting the database not splitting the application.;0
10342626;HackerNews;2015-10-06;maybe every module in a monolith could also be considered a microservice with extremely fast networking and an extremely terse remote interface specification language.;0
10340960;HackerNews;2015-10-06;again this is something that is independent of microservices. if you have a modular mono codebase then one team can easily deploy commits that only touch their module.;0
10340944;HackerNews;2015-10-06;for sure there's a buzzwagon and true microservices are just a kind of soa which itself wasn't new etc.what's different this time round is that microservice hosting should be much icheaperi.when you're cheap enough all sins are forgiven.;0
10340703;HackerNews;2015-10-06;there are other options like spend the same resources building a monolith that is not spaghetti. and it is certainly possible for the sum of microservices to become spaghetti.;0
10340528;HackerNews;2015-10-06;at least with microservices i know the interface is all i have to worry about.you wrap your code inside a reusable library if you want to encapsulate it and expose only a small public interface. you don't start a new service for that.;0
10340508;HackerNews;2015-10-06;the other benefit of a microservice is you can understand it. you can have the entire thing in your head. it's easier to maintain. with a monolith good luck.;0
10339776;HackerNews;2015-10-06;really? it's ten times as much work to implement microservices?no it says the servers have to do tenfold more work not you to implement them. whether that's correct or not is another discussion.;-1
10339286;HackerNews;2015-10-06;martin fowler identified a lot of the same tradeoffs in this video one benefit i haven't seen mentioned yet microservices are effective at reducing the mental page size when working on any particular part of the system.;0
10339039;HackerNews;2015-10-06;i think one thing that microservice and some other models correctly point to is that tiers of the traditional 2tier 3tier and ntier architectures aren't universal and that their are good reasons for some systems to have components that are arranged in some manner other than stacked fronttoback layers.;0
10339026;HackerNews;2015-10-06;i always though that microservices would be helpful if you had frequent transient programmers like contractors. where you can onboard a new person faster by having them focus an a much smaller view of the system.;0
10339009;HackerNews;2015-10-06;the micro in microservices is the issue. it reminds me of the nosql movement. the truth is that everyone has a multitiered architecture. the only question is how many tiers you need. it's always more than 1.;0
10338961;HackerNews;2015-10-06;looks like you can afford to have monolith and don't worry about this microservice thing p.;1
10338798;HackerNews;2015-10-06;boundaries have problems in monoliths as well can't really imagine it would be any easier with microservices.;0
10338711;HackerNews;2015-10-06;when you were evaluating amqp did you consider a lightweight rpc system like nameko ?;0
10338624;HackerNews;2015-10-06;what you're describing is an operating system.replace microservices with microkernel and you can read the torvaldstannebaum debate instead 1;0
10338597;HackerNews;2015-10-06;that's somewhat disingenuous. historically all software has been monolith first and has only adopted an soa out of need. the microservice mindset is relatively new and we're not really going to see it mature for another year or few.;-1
10338580;HackerNews;2015-10-06;do you think you can do microservices without devops? i see the correlation you're making but i think a more traditional organizational structure can work fine.;0
10338473;HackerNews;2015-10-06;very true but i've heard modularization touted as a benefit of microservices many times as if it's exclusive. you can get modularization as a firstclass feature in your favorite language and almost for free!;1
10338414;HackerNews;2015-10-06;the main benefit of microservices is that each team can ideployi their service independently.this is really useful to reduce the level of required of interaction and pressure between teams.;0
10338296;HackerNews;2015-10-06;you're right but sometimes modules ! servicesyour database is a service. you can't use multiple dbs depending on the situation.if it can be replaced by multiple instances of the same module than yes creating a microservice is probably stupid;-1
10338275;HackerNews;2015-10-06;yep when evaluating whether to go with more microservices we looked into rabbitmq for the transport and protobufs for serialization. in the end we decided to roll the existing microservices into the monolith which was by far the better decision as we didn't need the scalability.;0
10338214;HackerNews;2015-10-06;as others have already pointed out you don't need microservices to achieve a good modularization of your code. then have each team work on a different module with clearly defined apis between them. no need to separate them with http calls.;0
10338184;HackerNews;2015-10-06;rule of thumb divide number of fulltime backend engineers by 5 and you get ideal number of microservices .too many microservices is a complexity mess too little means you have a monolith that is hard to iterate on.;0
10338126;HackerNews;2015-10-06;yeah which just goes to show how microservices advocates understand programming.;0
10338118;HackerNews;2015-10-06;not only that the microservices is just sunrpc corba reborn and we all know how they worked out.;0
10337912;HackerNews;2015-10-06;i love his little worflow diagram embedded in the article;1
12146612;HackerNews;2016-07-22;...so what is a new concept regarding microservices?i don't see anything new... new tools granted. then again there's new tools being produced every day for every architectural style.;0
12141413;HackerNews;2016-07-22;yeah we were debating about whether i should write a post about the end of servers instead of the end of microservices. i thought we'd get a livelier discussion with microservices but i totally agree that they are already getting to be yesterday's buzz word.;0
12138251;HackerNews;2016-07-21;there is software and concepts around managing microservices that didn't exist before and so on. nothing can be new when you use such a vague way of comparing things. there were electric cars in the 1800s why talk about tesla?;0
12138190;HackerNews;2016-07-21;microservices aren't distributed objects;0
12137936;HackerNews;2016-07-21;every generation's microlith is the next generation's monolith.for this generation the end of microservices will be when we can look at a cluster as one big unit and deploy a microlithic monolith on it.for the next generation who knows how they will slice it up.;0
12137230;HackerNews;2016-07-21;microservices are for organizations that can't seem to enforce encapsulation at the object level.devs not creating good interfaces in oo design? stick them on a different server that ought to show them. of course now your spaghettified object hierarchies are spaghettified api call hierarchies.;0
12136311;HackerNews;2016-07-21;the discussion about monoliths vs. microservices reminds me about knuth's 10pages of pascal code vs. mcilroy's 6command shell pipeline;0
12135738;HackerNews;2016-07-21;the replacability is usually much better due to being forced to define sharp boundaries with clear interfacesif by sharp boundaries with clear interfaces you mean api specification how is it a microservice thing? i thought the benefits of microservices lie in behindthescenes details.;0
12135696;HackerNews;2016-07-21;but that is the thing.it just means that instead of using the language features and creating clean interfaces across modules they were witting spaghetti code.with microservices they get to write spaghetti rest calls with the added fun of distributed computing failures.;-1
12135553;HackerNews;2016-07-21;with some work you can have the some behaviour but the microservice is also about the data like user ids and passwords for a login microservice.;0
12135541;HackerNews;2016-07-21;i had the feeling that microservices would add too much of complexity but with faas this is canceled out by the fact that almost all server management complexity is handled by a different company.;0
12135421;HackerNews;2016-07-21;not as i understand microservices. a library would be something that's compiled or included in to your application code. a microservice is a separate process that the application communicates with over a protocol eg http.;0
12135376;HackerNews;2016-07-21;i agree with you. in my defense people who want microservices are generally asking for developer autonomy but just using technical language to do it rather than managerial.;0
12135344;HackerNews;2016-07-21;sounds kind of like what i would do except i would use a database table controller for each of the things you consider a microservice.;0
12135254;HackerNews;2016-07-21;i also don't see how microservices are more reusable.however the ireplacabilityi is usually much better due to being forced to define sharp boundaries with clear interfaces.;0
12135208;HackerNews;2016-07-21;you are not getting more reusability from a bunch of microservices compared to one big service i don't see where you got that?;-1
12135027;HackerNews;2016-07-21;you got the google part wrong. google is all in on microservice architecture and has over a decade of experience doing it. there is not some gigantic google.exe program. perhaps you have heard that google uses a single source code repo and drew an incorrect conclusion.;0
12134866;HackerNews;2016-07-21;if that's the case i'd argue we're conflating software development management with software engineering execution. it's illogical to assert that utilizing microservices implies entirely forgoing centralization.;0
12134841;HackerNews;2016-07-21;i think this is a smaller evolution than microservices non microservices.... as others have pointed out the real discussion is autonomy versus centralised control.;0
12134222;HackerNews;2016-07-21;not to seem naive but i work with a lot with microservices and i've never heard of lightstep...... follow up what's everyones opinion on this?;0
12134110;HackerNews;2016-07-21;i don't think they are. i would be surprised if 10 of new code right now was coded in microservices.;0
12134068;HackerNews;2016-07-21;they have the word microservice on their homepage d;0
12134062;HackerNews;2016-07-21;maybe a more appropriate title could be 'microservices are the norm';0
12601669;HackerNews;2016-09-28;if your product or project is not or has services then it does not need such a thing called microservices.;0
12519490;HackerNews;2016-09-17;you need almost none of that scary list to start building microservices. lambda functions can be created in minutes even in ui console. and they have almost everything from that scary list by default.lots of people are still in denial regarding microservices...;-1
12518261;HackerNews;2016-09-17;one of the ways we managed to get a microservices system on prem vsphere or openstack is to configure it with a system that can handle the whole provisionbuildconfiguredeploy as a single unit .. though the learning curve was steep.;0
12515747;HackerNews;2016-09-16;microservices embody the idea that there might not be a unified domain model across the organisation.;0
12513205;HackerNews;2016-09-16;if this person used microservices perhaps their site wouldn't be down right now...;0
12512963;HackerNews;2016-09-16;i'll go against the majority or vocal minority? and say i like your title it's good because it attracts attention i wouldn't read the post if it were a understand the implications of having a microservice architecture or whatever others recommend.;0
12512824;HackerNews;2016-09-16;my conclusion as well. in my mind i call them 'airgapped modules'.;0
12512720;HackerNews;2016-09-16;yes. for me shared state in the linux kernel is like a shared database between microservices. it makes life way easier is faster but you need to be careful you don't introduce subtle bugs.;0
12512163;HackerNews;2016-09-16;in my experience once microservice it's very hard to run the whole system in local environment. it's nearly impossible to overview the system anymore.;-1
12511681;HackerNews;2016-09-16;sounds like your company built a distributed monolith when they thought they were building microservices.;0
12511528;HackerNews;2016-09-16;i think microservices can work well but also agree that it's easier to start with a monolith. it's hard to go out and create perfect microservices. in my experience they emerge from the problem much like how an amoeba gets big and breaks off at natural points.;0
12511399;HackerNews;2016-09-16;you use microservices when your project expands beyond the monkeysphere number where everyone knows everyone else.it allows teams to work in their own world without having to coordinate as much with other teams or people.microservices are good for large companies. if you're small you don't need them.;0
12511179;HackerNews;2016-09-16;that's pretty spot on. i once made an abbreviated flowchart of the above for my microservices article i urge everyone to use it to decide whether they really need microservices or not.;1
12510962;HackerNews;2016-09-16;that's one thing i've always thought when people claimed microservices followed the unix philosophy. unix doesn't even follow that philosophy it's a monolith! yet it's also a modular system which is possible without being either a microkernel or microservices.;0
12510814;HackerNews;2016-09-16;i think it does carry those lessons but most languages are incredibly bad at enforcing modularity. monoliths make it far too easy to cheat and dynamically typed languages are typically worse here.microservices then just forces on you the modularity your language should have already given you.;-1
12510705;HackerNews;2016-09-16;i guess in my head it's also eliminating a lot of code bloat using microservices. just my opinion though.;0
12510606;HackerNews;2016-09-16;i heard about microservices about a year ago and now it said the hype has ended before i even noticed? admittedly i'm not in the loop and it's hard to track all the trends from outside.;-1
12510419;HackerNews;2016-09-16;a word which totally not carries lessons learnt from microservices vs monoliths. but using that name is fine by me i'm not trying to define other people world just sharing mine.;0
12510395;HackerNews;2016-09-16;i dunno. given the fuzzy definition of microservice i tend to think of otp applications as logical microservices... ones you can even build a monolith or distributed monolith out of if you want.;0
12510307;HackerNews;2016-09-16;instead of microservices i split my projects in tons of libraries and think of them as products enforcing a well thought of and consistent api usage api not http one. i call that an atomized monolith.there's already a term for that modularity.;0
12510054;HackerNews;2016-09-15;i see microservices as responsibility deduplication in a organizationtraversalwide.aka soa. why call it microservice ?;0
12509989;HackerNews;2016-09-15;you dont need to introduce a network boundary as an excuse to write better codeabsolutely this!microservices is just decoupling by another name.... and you do not need a networkboundary to enforce this.monolithic code can also be nicely decoupled too.;0
12509967;HackerNews;2016-09-15;we ship a microservicesbased product onpremises. you can do it but it's a heck of a lot of work. plus you don't get any of the benefits microservices might bring in a cd scenario you can't do cd over an airgap.;-1
12509926;HackerNews;2016-09-15;that's a key point it's easier to do things wrongpoorly on microservices.;0
12509844;HackerNews;2016-09-15;why would someone push for those 5 thruths? the point of microservices is to ease ops life so that deploying is less of a big banglike event and more geared towards incremental and local evolutions.;0
12509313;HackerNews;2016-09-15;because scaling a monolith is not a realistic approach. every single monolith i have worked on has been refactored as domain specific microservices and in every case it was a resounding success.;1
12509219;HackerNews;2016-09-15;i think it's more of whether or not you need that scale. if you don't have the resources for it to make sense to optimize everything like that you're probably wasting your time iandi making things slower by pursuing microservices.;-1
12509173;HackerNews;2016-09-15;my approach is to design like microservices and develop like a monolith. thinking about microservices will force you to define module their boundary and interfaces. a monolith will simplify deployment refactoring. once your code matures you'll know if any microservice has to be taken out and deployed seperately.;0
12509025;HackerNews;2016-09-15;one suggestion i would make if you are going to use microservices is to consider using grpc rather than rest. you can save yourself a lot of the hassle involved in the communication that way and make things quite a bit faster.;0
12509023;HackerNews;2016-09-15;the title should be i've never implemented microservices properly so you should avoid them.;-1
12508941;HackerNews;2016-09-15;raises some good points but i think the title isn't really correct. it's not don't use microservices it's more about making sure you understand the implications of having a microservice architecture and making sure it's not an excuse for not writing a monolith or soa properly.;0
13180565;HackerNews;2016-12-15;microservices don't solve the volume problem a monolith can have multiple to deployments to handle volume.;0
13172233;HackerNews;2016-12-14;i think if you are not capable of designing a decent api you won't be able to design good microservices either. both require some level of competence and discipline.;0
13172205;HackerNews;2016-12-14;but your networked api is language agnostic your library is not.it depends but microservices are in many cases better where your application is large. examples aws uber.monolith is better if your application smaller and cover just single problem. examples slack trello jira;0
13171992;HackerNews;2016-12-13;the author addresses building internal software as monolith vs. microservices not the use of others' services as part of one's monolithmicroservice.;0
13171065;HackerNews;2016-12-13;not really. that section is about simplicity. microservices can be more complicated but they shorten the feedback loop and reduce handoffs.;0
13168445;HackerNews;2016-12-13;rather than responding to each of these points which are valid points here's a blog post i wrote for codeship a while back on microservices with heroku that dives into a lot of the tradeoffs from an organizational and infrastructure standpoint.;0
13168420;HackerNews;2016-12-13;you'll find most microservices experts will say microservices is a specific implementation of soa.a lot of the early soa architectures used huge middleware applications. modern microservices keeps the stuff inside the microservices themselves.;0
